rank,country,transition_year,mean_fertility_before,most_recent_fertility,fertility_change,gni_before,gni_now
1,Saudi Arabia,2010,3.4154000000000004,2.308,-1.1074000000000006,21820.0,35630.0
2,Kuwait,2010,2.6207000000000003,1.56,-1.0607000000000002,42850.0,40770.0
3,Qatar,2010,2.7088000000000005,1.717,-0.9918000000000005,72630.0,77290.0
4,United Arab Emirates,2010,2.1852000000000005,1.213,-0.9722000000000004,42380.0,51550.0
5,Argentina,2010,2.4524,1.504,-0.9483999999999999,9160.0,13530.0
6,Oman,2010,2.2932499999999996,1.39,-0.9032499999999997,22510.0,19520.0
7,Korea (Republic of),2000,1.5984,0.748,-0.8504,11460.0,36750.0
8,Chile,2010,1.887,1.14,-0.7470000000000001,10720.0,15750.0
9,Bahrain,2010,2.5317000000000003,1.805,-0.7267000000000003,19510.0,28090.0
10,Singapore,1990,1.6940000000000002,0.97,-0.7240000000000002,11450.0,74750.0
11,Cyprus,2000,2.0889,1.38,-0.7089000000000003,14180.0,32870.0
12,Malaysia,2015,2.1978,1.543,-0.6548,10350.0,11650.0
13,Türkiye,2015,2.134,1.48,-0.6539999999999999,12080.0,13460.0
14,Uruguay,2015,2.0332999999999997,1.397,-0.6362999999999996,17070.0,21650.0
15,Bahamas,2010,2.0086999999999997,1.374,-0.6346999999999996,27320.0,37020.0
16,Iceland,1990,2.176,1.56,-0.6160000000000001,25300.0,82200.0
17,Poland,2000,1.7289999999999999,1.14,-0.589,4690.0,21590.0
18,Costa Rica,2015,1.8996,1.318,-0.5815999999999999,10770.0,15620.0
19,Japan,1990,1.7269999999999999,1.15,-0.577,28390.0,36000.0
20,Panama,2015,2.5979,2.106,-0.4919000000000002,12570.0,18010.0
21,Ireland,2000,1.9419999999999997,1.47,-0.47199999999999975,24130.0,80650.0
22,Canada,1990,1.6934999999999998,1.25,-0.4434999999999998,20650.0,53400.0
23,Luxembourg,2000,1.686,1.25,-0.43599999999999994,45690.0,84650.0
24,Malta,2010,1.443,1.01,-0.43300000000000005,21390.0,36730.0
25,New Zealand,1990,1.998,1.57,-0.42799999999999994,13640.0,47580.0
26,Finland,1990,1.6640000000000001,1.25,-0.41400000000000015,25980.0,51650.0
27,Australia,1990,1.8824,1.481,-0.4014,17370.0,62680.0
28,Seychelles,2015,2.241,1.85,-0.391,14750.0,17460.0
29,"Hong Kong, China (SAR)",2000,1.2207000000000001,0.841,-0.37970000000000015,26930.0,57070.0
30,Brunei Darussalam,2010,2.1053,1.731,-0.3743000000000001,35370.0,36020.0
31,Antigua and Barbuda,2010,1.9464,1.582,-0.36439999999999984,14390.0,21150.0
32,Estonia,2010,1.509,1.18,-0.32899999999999996,14580.0,28880.0
33,Sweden,1990,1.7549999999999997,1.43,-0.32499999999999973,27760.0,58190.0
34,Norway,1990,1.7309999999999999,1.45,-0.2809999999999999,26500.0,98170.0
35,Andorra,2000,1.3628,1.087,-0.27580000000000005,,47570.0
36,United Kingdom,1990,1.8029999999999997,1.551,-0.2519999999999998,18640.0,49470.0
37,Switzerland,1990,1.541,1.29,-0.2509999999999999,37950.0,95220.0
38,United States,1990,1.8586000000000003,1.6265,-0.2321000000000002,24060.0,83490.0
39,Lithuania,2010,1.337,1.11,-0.22699999999999987,12430.0,27150.0
40,Austria,1990,1.531,1.31,-0.22099999999999986,20550.0,54760.0
41,Thailand,2021,1.4225,1.204,-0.21850000000000014,7090.0,7100.0
42,Albania,2022,1.5399,1.341,-0.19890000000000008,7720.0,9910.0
43,France,2000,1.7570000000000001,1.61,-0.14700000000000002,24950.0,45160.0
44,Liechtenstein,2000,1.511,1.37,-0.1409999999999998,80170.0,
45,Belgium,1990,1.5799999999999998,1.44,-0.1399999999999999,19310.0,55290.0
46,Latvia,2010,1.377,1.24,-0.137,12250.0,21630.0
47,Spain,2000,1.2200000000000002,1.1,-0.1200000000000001,15770.0,33550.0
48,Belarus,2010,1.3321,1.217,-0.11509999999999998,6150.0,8260.0
49,Netherlands,1990,1.5340000000000003,1.43,-0.10400000000000031,19910.0,62520.0
50,Palau,2015,1.9857,1.883,-0.10270000000000001,14190.0,
51,Czechia,2000,1.45,1.36,-0.08999999999999986,6380.0,29560.0
52,Trinidad and Tobago,2015,1.6145,1.536,-0.07850000000000001,20650.0,19740.0
53,Georgia,2015,1.8712,1.802,-0.06919999999999993,4500.0,8110.0
54,Greece,2000,1.3050000000000002,1.24,-0.06500000000000017,13100.0,22730.0
55,Italy,2000,1.245,1.18,-0.06500000000000017,21980.0,38590.0
56,North Macedonia,2022,1.459,1.4,-0.05900000000000016,7570.0,8300.0
57,Germany,1990,1.401,1.36,-0.040999999999999925,21360.0,55090.0
58,Barbados,2015,1.7451,1.708,-0.03710000000000013,19150.0,25140.0
59,San Marino,2000,1.1912,1.158,-0.03320000000000012,,
60,Montenegro,2010,1.8199,1.8,-0.01990000000000003,6910.0,12210.0
61,Romania,2010,1.401,1.39,-0.01100000000000012,8770.0,17600.0
62,Denmark,1990,1.4809999999999999,1.47,-0.010999999999999899,24380.0,72540.0
