country,transition_year,hdi_at_transition,mean_fertility_before,years_used_before,gni_before,most_recent_fertility,most_recent_year,gni_now,fertility_change
Iceland,1990,0.841,2.176,1980-1989,25300.0,1.56,2024,82200.0,-0.6160000000000001
Japan,1990,0.853,1.7269999999999999,1980-1989,28390.0,1.15,2024,36000.0,-0.577
United States,1990,0.878,1.8586000000000003,1980-1989,24060.0,1.6265,2024,83490.0,-0.2321000000000002
New Zealand,1990,0.811,1.998,1980-1989,13640.0,1.57,2024,47580.0,-0.42799999999999994
Canada,1990,0.865,1.6934999999999998,1980-1989,20650.0,1.25,2024,53400.0,-0.4434999999999998
United Kingdom,1990,0.812,1.8029999999999997,1980-1989,18640.0,1.551,2024,49470.0,-0.2519999999999998
Singapore,1990,0.819,1.6940000000000002,1980-1989,11450.0,0.97,2024,74750.0,-0.7240000000000002
Finland,1990,0.823,1.6640000000000001,1980-1989,25980.0,1.25,2024,51650.0,-0.41400000000000015
Belgium,1990,0.824,1.5799999999999998,1980-1989,19310.0,1.44,2024,55290.0,-0.1399999999999999
Austria,1990,0.832,1.531,1980-1989,20550.0,1.31,2024,54760.0,-0.22099999999999986
Australia,1990,0.867,1.8824,1980-1989,17370.0,1.481,2024,62680.0,-0.4014
Sweden,1990,0.818,1.7549999999999997,1980-1989,27760.0,1.43,2024,58190.0,-0.32499999999999973
Germany,1990,0.834,1.401,1980-1989,21360.0,1.36,2024,55090.0,-0.040999999999999925
Denmark,1990,0.844,1.4809999999999999,1980-1989,24380.0,1.47,2024,72540.0,-0.010999999999999899
Switzerland,1990,0.858,1.541,1980-1989,37950.0,1.29,2024,95220.0,-0.2509999999999999
Norway,1990,0.856,1.7309999999999999,1980-1989,26500.0,1.45,2024,98170.0,-0.2809999999999999
Netherlands,1990,0.855,1.5340000000000003,1980-1989,19910.0,1.43,2024,62520.0,-0.10400000000000031
Ireland,2000,0.869,1.9419999999999997,1990-1999,24130.0,1.47,2024,80650.0,-0.47199999999999975
Poland,2000,0.801,1.7289999999999999,1990-1999,4690.0,1.14,2024,21590.0,-0.589
Greece,2000,0.828,1.3050000000000002,1990-1999,13100.0,1.24,2024,22730.0,-0.06500000000000017
Cyprus,2000,0.808,2.0889,1990-1999,14180.0,1.38,2024,32870.0,-0.7089000000000003
Andorra,2000,0.825,1.3628,1990-1999,,1.087,2024,47570.0,-0.27580000000000005
San Marino,2000,0.881,1.1912,1990-1999,,1.158,2024,,-0.03320000000000012
Italy,2000,0.849,1.245,1990-1999,21980.0,1.18,2024,38590.0,-0.06500000000000017
Czechia,2000,0.817,1.45,1990-1999,6380.0,1.36,2024,29560.0,-0.08999999999999986
Spain,2000,0.833,1.2200000000000002,1990-1999,15770.0,1.1,2024,33550.0,-0.1200000000000001
Israel,2000,0.839,2.8670999999999998,1990-1999,20380.0,2.87,2024,52910.0,0.0029000000000003467
Luxembourg,2000,0.861,1.686,1990-1999,45690.0,1.25,2024,84650.0,-0.43599999999999994
Slovenia,2000,0.829,1.312,1990-1999,11200.0,1.52,2024,31790.0,0.20799999999999996
Korea (Republic of),2000,0.83,1.5984,1990-1999,11460.0,0.748,2024,36750.0,-0.8504
Liechtenstein,2000,0.882,1.511,1990-1999,80170.0,1.37,2024,,-0.1409999999999998
"Hong Kong, China (SAR)",2000,0.839,1.2207000000000001,1990-1999,26930.0,0.841,2024,57070.0,-0.37970000000000015
France,2000,0.852,1.7570000000000001,1990-1999,24950.0,1.61,2024,45160.0,-0.14700000000000002
Montenegro,2010,0.815,1.8199,2000-2009,6910.0,1.8,2024,12210.0,-0.01990000000000003
Oman,2010,0.804,2.2932499999999996,2000-2009,22510.0,1.39,2024,19520.0,-0.9032499999999997
Kuwait,2010,0.812,2.6207000000000003,2000-2009,42850.0,1.56,2024,40770.0,-1.0607000000000002
Antigua and Barbuda,2010,0.828,1.9464,2000-2009,14390.0,1.582,2024,21150.0,-0.36439999999999984
Russian Federation,2010,0.808,1.3426,2000-2009,9980.0,1.418,2024,15320.0,0.07539999999999991
Brunei Darussalam,2010,0.83,2.1053,2000-2009,35370.0,1.731,2024,36020.0,-0.3743000000000001
Bahamas,2010,0.801,2.0086999999999997,2000-2009,27320.0,1.374,2024,37020.0,-0.6346999999999996
Argentina,2010,0.844,2.4524,2000-2009,9160.0,1.504,2024,13530.0,-0.9483999999999999
Belarus,2010,0.803,1.3321,2000-2009,6150.0,1.217,2024,8260.0,-0.11509999999999998
Romania,2010,0.822,1.401,2000-2009,8770.0,1.39,2024,17600.0,-0.01100000000000012
Hungary,2010,0.838,1.3119999999999998,2000-2009,13250.0,1.41,2024,20770.0,0.09800000000000009
Bahrain,2010,0.81,2.5317000000000003,2000-2009,19510.0,1.805,2024,28090.0,-0.7267000000000003
Slovakia,2010,0.851,1.271,2000-2009,17600.0,1.46,2024,23560.0,0.18900000000000006
Qatar,2010,0.834,2.7088000000000005,2000-2009,72630.0,1.717,2024,77290.0,-0.9918000000000005
Latvia,2010,0.833,1.377,2000-2009,12250.0,1.24,2024,21630.0,-0.137
Croatia,2010,0.831,1.4529999999999998,2000-2009,13890.0,1.46,2024,22250.0,0.007000000000000117
Portugal,2010,0.836,1.416,2000-2009,23030.0,1.41,2024,26910.0,-0.006000000000000005
Lithuania,2010,0.854,1.337,2000-2009,12430.0,1.11,2024,27150.0,-0.22699999999999987
United Arab Emirates,2010,0.835,2.1852000000000005,2000-2009,42380.0,1.213,2024,51550.0,-0.9722000000000004
Malta,2010,0.867,1.443,2000-2009,21390.0,1.01,2024,36730.0,-0.43300000000000005
Estonia,2010,0.868,1.509,2000-2009,14580.0,1.18,2024,28880.0,-0.32899999999999996
Saudi Arabia,2010,0.801,3.4154000000000004,2000-2009,21820.0,2.308,2024,35630.0,-1.1074000000000006
Chile,2010,0.823,1.887,2000-2009,10720.0,1.14,2024,15750.0,-0.7470000000000001
Trinidad and Tobago,2015,0.808,1.6145,2005-2014,20650.0,1.536,2024,19740.0,-0.07850000000000001
Barbados,2015,0.8,1.7451,2005-2014,19150.0,1.708,2024,25140.0,-0.03710000000000013
Malaysia,2015,0.8,2.1978,2005-2014,10350.0,1.543,2024,11650.0,-0.6548
Serbia,2015,0.802,1.424,2005-2014,6210.0,1.64,2024,11610.0,0.21599999999999997
Kazakhstan,2015,0.819,2.5625,2005-2014,11040.0,2.984,2024,12090.0,0.4215
Panama,2015,0.803,2.5979,2005-2014,12570.0,2.106,2024,18010.0,-0.4919000000000002
Georgia,2015,0.807,1.8712,2005-2014,4500.0,1.802,2024,8110.0,-0.06919999999999993
Bulgaria,2015,0.824,1.5260000000000002,2005-2014,7620.0,1.72,2024,15370.0,0.19399999999999973
Seychelles,2015,0.819,2.241,2005-2014,14750.0,1.85,2024,17460.0,-0.391
Türkiye,2015,0.821,2.134,2005-2014,12080.0,1.48,2024,13460.0,-0.6539999999999999
Uruguay,2015,0.818,2.0332999999999997,2005-2014,17070.0,1.397,2024,21650.0,-0.6362999999999996
Costa Rica,2015,0.803,1.8996,2005-2014,10770.0,1.318,2024,15620.0,-0.5815999999999999
Palau,2015,0.802,1.9857,2005-2014,14190.0,1.883,2024,,-0.10270000000000001
Thailand,2021,0.8,1.4225,2011-2020,7090.0,1.204,2024,7100.0,-0.21850000000000014
North Macedonia,2022,0.811,1.459,2012-2021,7570.0,1.4,2024,8300.0,-0.05900000000000016
Armenia,2022,0.801,1.6300000000000001,2012-2021,5690.0,1.7,2024,7810.0,0.06999999999999984
Albania,2022,0.806,1.5399,2012-2021,7720.0,1.341,2024,9910.0,-0.19890000000000008
Mauritius,2023,0.806,1.417,2013-2022,12570.0,1.44,2024,12970.0,0.02299999999999991
Bosnia and Herzegovina,2023,0.804,1.4140000000000001,2013-2022,8280.0,1.492,2024,8790.0,0.07799999999999985
